Nama Komponen,Total Job 2025,Tren vs 2024,Rata-rata MTBF (Hari),Estimasi Order Berikutnya,Rekomendasi Part Number
#1 D/G Engine,1171,TURUN (-2883),8.5,Setiap 8.5 Hari,ENGINE PART RING TEMBAGA 19 X  (No P/N) | ENGINE PART TANG SNAP RING 7 T (No P/N) | ENGINE PART VENT HEAD FOR WATE (No P/N)
#2 Life Raft,1146,TURUN (-2577),7.4,Setiap 7.4 Hari,LAIN-LAIN IMO SYMBOL SURVIVAL  (No P/N) | LAIN-LAIN CASHING LIFERAFT REP (No P/N) | SAFETY HYDROSTATIC RELEASE FOR (No P/N)
#1 Life Raft,1140,TURUN (-2659),7.3,Setiap 7.3 Hari,LAIN-LAIN IMO SYMBOL SURVIVAL  (No P/N) | LAIN-LAIN CASHING LIFERAFT REP (No P/N) | SAFETY HYDROSTATIC RELEASE FOR (No P/N)
#2 D/G Engine,1110,TURUN (-2814),8.7,Setiap 8.7 Hari,ENGINE PART RING TEMBAGA 19 X  (No P/N) | ENGINE PART TANG SNAP RING 7 T (No P/N) | ENGINE PART VENT HEAD FOR WATE (No P/N)
Sewage Treatment Unit,1024,TURUN (-2343),8.1,Setiap 8.1 Hari,LAIN-LAIN EVAPORATOR TREATMENT (673005) | LAIN-LAIN CHEMICAL MARZINE PLU (No P/N) | LAIN-LAIN D C W T NON CHROMATE (No P/N)
Saturday Routine,1015,TURUN (-2316),8.6,Setiap 8.6 Hari,Tidak ada match di Inventory
#3 D/G Engine,883,TURUN (-2111),9.7,Setiap 9.7 Hari,ENGINE PART RING TEMBAGA 19 X  (No P/N) | ENGINE PART TANG SNAP RING 7 T (No P/N) | ENGINE PART VENT HEAD FOR WATE (No P/N)
Radar Transponder,856,TURUN (-1958),10.1,Setiap 10.1 Hari,LAIN-LAIN AIS NSR 1000 TRANSPO (No P/N) | LAIN-LAIN IMO SYMBOL RADAR TRA (334115) | LAIN-LAIN LCD DISPLAY FOR AIS  (No P/N)
Emergency Fire Pump,846,TURUN (-2126),9.3,Setiap 9.3 Hari,PUMP AS POMPA 100 X 80 FS GA 1 (No P/N) | PUMP AS POMPA 100 X 80 FSHA 10 (No P/N) | PUMP STATOR SLUDGE PUMP HNP 30 (001)
Galley,837,TURUN (-1978),8.4,Setiap 8.4 Hari,Tidak ada match di Inventory
#1 Main Air Comp.,825,TURUN (-1977),12.4,Setiap 12.4 Hari,ENGINE PART 3121 019 CRANKSHAF ((16A2)) | ENGINE PART 3123 004 CONNECTIN ((17-1)) | FILTER 3084 539 OIL FILTER COM ((33-1))
#2 Main Air Comp.,808,TURUN (-1959),12.6,Setiap 12.6 Hari,ENGINE PART 3121 019 CRANKSHAF ((16A2)) | ENGINE PART 3123 004 CONNECTIN ((17-1)) | FILTER 3084 539 OIL FILTER COM ((33-1))
Smoke Detector,748,TURUN (-1741),9.4,Setiap 9.4 Hari,CHEMICAL BB OIL MIST DETECTOR  (8.4810) | LAIN-LAIN DETECTOR ISOLATING B (DB5I/A) | LAIN-LAIN DETECTOR BASE DZB901 (No P/N)
Gyro Repeater,705,TURUN (-1570),8.9,Setiap 8.9 Hari,LAIN-LAIN HEADING REPEATER COM (C-16) | LAIN-LAIN REPEATER DISPLAY DAZ (No P/N)
Emergency Generator Engine,535,TURUN (-1266),12.7,Setiap 12.7 Hari,ENGINE PART RING TEMBAGA 19 X  (No P/N) | ENGINE PART TANG SNAP RING 7 T (No P/N) | ENGINE PART VENT HEAD FOR WATE (No P/N)
